class,feature_name,raw_feature_name,feature_type,mean_abs_shap
ham,fun games,tfidf__fun games,tfidf,0.002433919540120922
ham,games netcollex,tfidf__games netcollex,tfidf,0.002433919540120922
ham,ready i'm,tfidf__ready i'm,tfidf,0.002433919540120922
ham,sex fun,tfidf__sex fun,tfidf,0.002433919540120922
ham,today's day,tfidf__today's day,tfidf,0.002433919540120922
ham,rs,tfidf__rs,tfidf,0.0024320506424029527
ham,pay,tfidf__pay,tfidf,0.002418595852591275
ham,shortly,tfidf__shortly,tfidf,0.0024149964592261883
ham,soon,tfidf__soon,tfidf,0.002372202530192586
ham,yes,tfidf__yes,tfidf,0.002371950074796189
ham,mp3,tfidf__mp3,tfidf,0.002361956759793189
ham,survive,tfidf__survive,tfidf,0.002359931663759558
ham,meet,tfidf__meet,tfidf,0.0023389184097019496
ham,pick,tfidf__pick,tfidf,0.0023283662219872876
ham,cash 000,tfidf__cash 000,tfidf,0.0023243045655621207
ham,mins,tfidf__mins,tfidf,0.002311725492043784
ham,250,tfidf__250,tfidf,0.002311683552968184
ham,music,tfidf__music,tfidf,0.002275887310913923
ham,150p msg,tfidf__150p msg,tfidf,0.002261817849071158
ham,xxx,tfidf__xxx,tfidf,0.0022493192266492476
ham,week,tfidf__week,tfidf,0.0022437532694955875
ham,speak,tfidf__speak,tfidf,0.002219026907184688
ham,big,tfidf__big,tfidf,0.0021965612603483337
ham,world,tfidf__world,tfidf,0.0021403602765499353
ham,book,tfidf__book,tfidf,0.002140057575324919
ham,chance,tfidf__chance,tfidf,0.002137534996350154
ham,went,tfidf__went,tfidf,0.0021342935056970136
ham,let know,tfidf__let know,tfidf,0.0021281093799368116
ham,wkly,tfidf__wkly,tfidf,0.002128006644230668
ham,quiz,tfidf__quiz,tfidf,0.002126564659639828
ham,dating,tfidf__dating,tfidf,0.002119886496961743
ham,25,tfidf__25,tfidf,0.002081655279558733
ham,club,tfidf__club,tfidf,0.0020799164810424214
ham,makes,tfidf__makes,tfidf,0.002054570814556929
ham,saying,tfidf__saying,tfidf,0.0020333578551640545
ham,min 18,tfidf__min 18,tfidf,0.00203072214952649
ham,doin,tfidf__doin,tfidf,0.0020108324610237645
ham,told,tfidf__told,tfidf,0.0019992813050018414
ham,pls,tfidf__pls,tfidf,0.0019985071112783126
ham,we're,tfidf__we're,tfidf,0.00198964932429439
ham,place,tfidf__place,tfidf,0.001986311280707787
ham,match,tfidf__match,tfidf,0.001977342381959045
